Country Name,Year,Indicator Name,Value
Argentina,2020,"International tourism, receipts (% of total exports)",2.641329466
Argentina,2019,"International tourism, receipts (% of total exports)",7.07063914
Argentina,2018,"International tourism, receipts (% of total exports)",7.776450365
Argentina,2017,"International tourism, receipts (% of total exports)",7.860524841
Argentina,2016,"International tourism, receipts (% of total exports)",7.657109367
Argentina,2015,"International tourism, receipts (% of total exports)",7.770352221
Argentina,2014,"International tourism, receipts (% of total exports)",6.897874143
Argentina,2013,"International tourism, receipts (% of total exports)",5.801929549
Argentina,2012,"International tourism, receipts (% of total exports)",6.005464449
Argentina,2011,"International tourism, receipts (% of total exports)",6.20590596
Argentina,2010,"International tourism, receipts (% of total exports)",6.909259852
Argentina,2009,"International tourism, receipts (% of total exports)",6.715850377
Argentina,2008,"International tourism, receipts (% of total exports)",6.463307133
Argentina,2007,"International tourism, receipts (% of total exports)",7.607116078
Argentina,2006,"International tourism, receipts (% of total exports)",7.199902644
Argentina,2005,"International tourism, receipts (% of total exports)",6.843354152
Argentina,2004,"International tourism, receipts (% of total exports)",6.690603601
Argentina,2003,"International tourism, receipts (% of total exports)",6.715981269
Argentina,2002,"International tourism, receipts (% of total exports)",5.906141906
Argentina,2001,"International tourism, receipts (% of total exports)",8.856965228
Argentina,2000,"International tourism, receipts (% of total exports)",10.22828105
Argentina,1999,"International tourism, receipts (% of total exports)",11.34037167
Argentina,1998,"International tourism, receipts (% of total exports)",10.72755076
Argentina,1997,"International tourism, receipts (% of total exports)",10.16973049
Argentina,1996,"International tourism, receipts (% of total exports)",10.4662293
Argentina,1995,"International tourism, receipts (% of total exports)",10.21780678
Argentina,2020,Individuals using the Internet (% of population),85.5
Argentina,2019,Individuals using the Internet (% of population),79.9
Argentina,2018,Individuals using the Internet (% of population),77.7
Argentina,2017,Individuals using the Internet (% of population),74.3
Argentina,2016,Individuals using the Internet (% of population),71
Argentina,2015,Individuals using the Internet (% of population),68
Argentina,2014,Individuals using the Internet (% of population),64.7
Argentina,2013,Individuals using the Internet (% of population),59.9
Argentina,2012,Individuals using the Internet (% of population),55.8
Argentina,2011,Individuals using the Internet (% of population),51
Argentina,2010,Individuals using the Internet (% of population),45
Argentina,2009,Individuals using the Internet (% of population),34
Argentina,2008,Individuals using the Internet (% of population),28.1
Argentina,2007,Individuals using the Internet (% of population),25.9
Argentina,2006,Individuals using the Internet (% of population),20.9
Argentina,2005,Individuals using the Internet (% of population),17.7
Argentina,2004,Individuals using the Internet (% of population),16
Argentina,2003,Individuals using the Internet (% of population),11.9
Argentina,2002,Individuals using the Internet (% of population),10.9
Argentina,2001,Individuals using the Internet (% of population),9.78
Argentina,2000,Individuals using the Internet (% of population),7.04
Argentina,1999,Individuals using the Internet (% of population),3.28
Argentina,1998,Individuals using the Internet (% of population),0.831
Argentina,1997,Individuals using the Internet (% of population),0.28
Argentina,1996,Individuals using the Internet (% of population),0.142
Argentina,1995,Individuals using the Internet (% of population),0.0863